type,author,content,ip,time
0,ARROW,YU1225,35$中式炒麵https://i.imgur.com/fOusnDa.jpg,,06/07 08:30
1,BOO,jinso7410,https://i.imgur.com/CiL8TFh.jpg,,06/07 08:30
2,ARROW,jinso7410,樂觀起來!!!!樂觀起來!!!!,,06/07 08:30
3,PUSH,l1ll,早,,06/07 08:30
4,ARROW,addy7533967,阿雯早安阿雯++,,06/07 08:30
5,PUSH,chewthelife8,雯晴窩愛你,,06/07 08:30
6,PUSH,liscp,雯晴早,,06/07 08:30
7,ARROW,YU1225,https://i.imgur.com/l8YluVn.jpg,,06/07 08:30
8,ARROW,appledick,早啊 軋爆空軍 開心的一天,,06/07 08:30
9,PUSH,mecca,軋爆空軍樂陶陶QQ,,06/07 08:31
10,PUSH,funny7967,晴雯早,,06/07 08:31
11,PUSH,ipath19,雯文早 大家早,,06/07 08:31
12,PUSH,veter,老蘇再度大獲全勝,,06/07 08:31
13,PUSH,pttstock,各位股神早安 :) 台股 審慎樂觀,,06/07 08:31
14,PUSH,thinksilver,晴雯早,,06/07 08:31
15,PUSH,wang0308,晴雯早,,06/07 08:32
16,PUSH,axsz795130,雯晴早安,,06/07 08:32
17,PUSH,werty5445,開高走高 收最高,,06/07 08:32
18,PUSH,buyaowen,今天全面樂觀!!!,,06/07 08:33
19,PUSH,ericthree,晴雯995,,06/07 08:33
20,BOO,askaa,"===哥~只買台&納正二,傻空審判日到來,爹咧嘻嘻嘻===",,06/07 08:33
21,ARROW,askaa,========每天都有高點空，一直摸頭錢很多。========,,06/07 08:34
22,PUSH,chunyee,戈登黃藍燈,,06/07 08:34
23,PUSH,timtdsas,日經又漲了,,06/07 08:34
24,PUSH,YU1225,下半年度 面板喵主升段 大家要記得領養喔！,,06/07 08:34
25,ARROW,YU1225,記得跟你們洗腦 下半年面板喵主升段的id,,06/07 08:35
26,PUSH,mingloveshan,32510又撿了2口小日經,,06/07 08:35
27,ARROW,askaa,========整天檢舉累不累，公園記得蓋棉被。========,,06/07 08:35
28,PUSH,ap909278410,歐印多！！,,06/07 08:35
29,ARROW,askaa,========買完沒事爬文笑，現金多到你嚇到。========,,06/07 08:35
30,PUSH,a069275235,請晴雯放空軍一條生路   開條人道走廊讓傻空跑,,06/07 08:35
31,ARROW,askaa,========無腦正二已來到，帳戶數字嚇嚇叫。========,,06/07 08:35
32,BOO,ck326,人越來越少了，看來差不多了,,06/07 08:35
