index,type,author,content,ip,time,sentiment,stock_target
0,700,ARROW,guilty13,為什麼會被洗掉 因為你一直看阿~ 我都沒在管的,,06/07 09:30,neutral,null
1,701,PUSH,billy56,我覺得 現在還沒漲的 不少都蹲到腳麻吧 XD,,06/07 09:30,neutral,null
2,702,ARROW,call5566me,三陽加點由阿  95加滿,,06/07 09:30,neutral,null
3,703,ARROW,baka1412,https://i.imgur.com/PepzRsn.gif,,06/07 09:30,neutral,null
4,704,PUSH,tintin9900,振作點3231,,06/07 09:30,positive,3231
5,705,BOO,final01,這星期運價爆跌...,,06/07 09:30,negative,null
6,706,PUSH,kclvpc,看汎詮q1 eps0.7脈股的就是被洗掉啊,,06/07 09:30,negative,汎詮股票代號
7,707,ARROW,frankie30432,材料 易飛網 JPP 立端 都買在很低,,06/07 09:30,positive,易飛網(JPP)
8,708,PUSH,h75221,看來司馬懿營收可能有人早知道,,06/07 09:30,negative,司馬懿
9,709,PUSH,Neal100,建碁還在漲停 真的謝謝哲哲 謝謝五夠強,,06/07 09:30,positive,建碁
10,710,ARROW,kclvpc,賣股,,06/07 09:30,negative,null
11,711,PUSH,Messi100,噴得滿臉都是,,06/07 09:30,negative,null
12,712,PUSH,joygo,今天持股蠻弱的，昨天沒換到對的,,06/07 09:30,negative,
13,713,ARROW,guilty13,我的內心裡面只有工作 只有客戶的委託,,06/07 09:30,neutral,null
14,714,BOO,momo5426mo,每天就是一直噴一直噴一直噴，錢淹腳目,,06/07 09:30,negative,null
15,715,PUSH,topfree,FJ 請較一下像6670營收一路下是不是等營收反轉再買,,06/07 09:30,neutral,6670
16,716,ARROW,topfree,？,,06/07 09:30,neutral,null
17,717,PUSH,Superxixai,美債怎麼大V了,,06/07 09:30,neutral,null
18,718,PUSH,abc0922001,真得可以這麼幸福嗎,,06/07 09:30,neutral,null
19,719,ARROW,Crushredkiss,真的很靠北..正二噴成豬頭QQ,,06/07 09:31,negative,null
20,720,ARROW,photoless,趕緊上車 妳的人生還有救,,06/07 09:31,positive,null
21,721,PUSH,guowei616,正2 遲早漲到500 無腦多一直買就對了 小心騙人id,,06/07 09:31,positive,null
22,722,PUSH,kevint20,日股直接跳水,,06/07 09:31,negative,Market
23,723,PUSH,a052612565,16800變成新的支撐惹,,06/07 09:31,positive,null
24,724,BOO,YesNoter,亞航24看到現在53 滿手空怎麼贏,,06/07 09:31,negative,亞航(股票代號：5099)
25,725,PUSH,GoGoD,5穹6訣7上調200000000,,06/07 09:31,neutral,null
26,726,PUSH,czg,空蛙在飛??,,06/07 09:31,neutral,null
27,727,PUSH,speady,三羊剛講完就來了,,06/07 09:31,neutral,null
28,728,PUSH,pttstock,阿海怎麼那麼弱? +~老輸靈壓那麼重??,,06/07 09:31,negative,
29,729,PUSH,VVVV5555,光頭怎麼了。。。怎麼崩成這樣,,06/07 09:31,neutral,null
30,730,ARROW,frankie30432,也有還抱著的 現在不好蹲 要急殺比較好買,,06/07 09:31,negative,null
31,731,PUSH,yannicklatte,不拉一下GG嗎？到565就好，我要下車了,,06/07 09:31,neutral,null
32,732,BOO,stanleyplus,噴滿臉阿 還有人賠錢嗎,,06/07 09:31,negative,
33,733,ARROW,kilik0960,聯詠越來越香,,06/07 09:31,positive,聯詠
34,734,PUSH,f204137,莊家又創高了呢 躺著收利息,,06/07 09:32,positive,null
35,735,PUSH,cheedo,當大家都在聊的時候就是出貨,,06/07 09:32,neutral,null
36,736,ARROW,joygo,長榮也是很厲害，一整個指數大噴他都沒變,,06/07 09:32,positive,長榮航空股票代號：2603
37,737,PUSH,akiras,光頭算崩嗎@@,,06/07 09:32,neutral,null
38,738,ARROW,guilty13,成本就是一切依歸 成本一拉開 跌停我也當作沒看到,,06/07 09:32,negative,null
39,739,BOO,call5566me,雄獅怎麼這麼爛  突破1下就軟了,,06/07 09:32,negative,雄獅
40,740,BOO,Lineage5415,多單滿到爆炸 誰能借我錢繼續加碼,,06/07 09:32,negative,null
41,741,PUSH,tzjjkonuj,https://i.imgur.com/34mN7eN.jpg 車用週邊,,06/07 09:32,neutral,null
42,742,PUSH,billy56,現在等拉回？ 這波連10日都不給摸,,06/07 09:32,negative,null
43,743,PUSH,addy7533967,用剩下的零錢玩一下零股0.0,,06/07 09:32,neutral,null
44,744,PUSH,jdjfghr,股市是不會跌了??????,,06/07 09:32,negative,Market
45,745,PUSH,cenalolz,賺爛了,,06/07 09:32,negative,null
46,746,PUSH,tonylolz,阿榮十萬借券大軍,,06/07 09:32,neutral,阿榮十萬借券大軍
47,747,PUSH,sosiealex,沒錢加碼 https://i.imgur.com/VDqov7r.jpg,,06/07 09:32,negative,null
48,748,PUSH,topfree,光頭才跌這樣算哪門子崩=.=‘‘,,06/07 09:32,negative,null
49,749,ARROW,pttstock,去信貸阿 房子抵押 ATM借款 :),,06/07 09:33,neutral,null
50,750,BOO,jinso7410,閒聊一致看多 沒樂子,,06/07 09:33,positive,null
51,751,PUSH,mingloveshan,台股賺爛了,,06/07 09:33,negative,Market
52,752,PUSH,huabandd,https://i.imgur.com/1JEdrbQ.png,,06/07 09:33,neutral,null
53,753,ARROW,huabandd,https://i.imgur.com/roOsGZp.png,,06/07 09:33,neutral,null
54,754,ARROW,huabandd,https://i.imgur.com/REvHsyR.png,,06/07 09:33,neutral,null
55,755,ARROW,huabandd,大盤往上華孚往下，真妙,,06/07 09:33,negative,Market
56,756,PUSH,guowei616,有一個叫人100出清正2的已認錯了 我把你的id解除,,06/07 09:33,neutral,null
57,757,PUSH,potentio,大亞要燈了,,06/07 09:33,positive,大亞股份
58,758,BOO,si5111,三陽AA,,06/07 09:33,neutral,三陽AA
59,759,PUSH,YU1225,長榮就說過了 籌碼這樣 新手才會看殖利率跑去買,,06/07 09:33,negative,長榮航空 (2603)
60,760,PUSH,Kaken,沒有閒錢了….,,06/07 09:33,negative,null
61,761,PUSH,frankie30432,不好拉回阿 真的摜破10日應該也是轉盤整而已,,06/07 09:33,negative,null
62,762,ARROW,topfree,對了Gu大 普安後來你有買嗎,,06/07 09:33,neutral,null
63,763,ARROW,akiras,對啊..給光頭回檔休息休息~,,06/07 09:33,neutral,null
64,764,PUSH,veter,偉黑笑死 台光電漲停囉,,06/07 09:33,positive,台光電
65,765,PUSH,a70327cow,Fj 有在看00665L嗎,,06/07 09:33,neutral,00665L
66,766,PUSH,VVVV5555,MG可以榮登新人王了,,06/07 09:33,positive,MG
67,767,PUSH,kji590929,三陽AAAAAA,,06/07 09:33,neutral,三陽AAAAAA
68,768,ARROW,tzjjkonuj,第二季會更多交車潮 車用又要啟動，車用科技Ai化,,06/07 09:33,positive,Market
69,769,PUSH,otsuka123,這波有點堅決 幾乎一次過,,06/07 09:33,positive,null
70,770,PUSH,apolloapollo,倚天劍好猛,,06/07 09:33,neutral,null
71,771,PUSH,speady,三陽剛剛追要過高的被出貨了,,06/07 09:33,negative,三陽
72,772,PUSH,zackro,華孚本來就該殺  本益比多高了,,06/07 09:33,negative,華孚
73,773,BOO,yu7038,龍哥哈哈,,06/07 09:33,neutral,null
74,774,BOO,faelone,昨天說惹追高神教，買高賣更高，今天就吃肉囉,,06/07 09:33,positive,null
75,775,ARROW,billy56,那就是逼人追高了阿 那就有點尷尬了,,06/07 09:33,negative,null
76,776,PUSH,tsai18,緯創你40-50不買 現在噴到70幾去追,,06/07 09:33,negative,緯創
77,777,PUSH,cheedo,三陽出貨日,,06/07 09:34,neutral,三陽
78,778,ARROW,mingloveshan,台股一直創高好爽，下午就16900了,,06/07 09:34,positive,Market
79,779,PUSH,Parker08,正文還有救嗎？,,06/07 09:34,neutral,null
80,780,ARROW,guilty13,普安我放在第一輪選秀位置 目前還沒有轉換的念頭,,06/07 09:34,positive,普安(股票代號)
81,781,PUSH,momoma12,gu大在講E+嗎?XD~~,,06/07 09:34,neutral,null
82,782,PUSH,Kyushu1012,雄獅也太鳥,,06/07 09:34,negative,null
83,783,ARROW,YU1225,多頭 強者恆強研究創新高,,06/07 09:34,positive,null
84,784,ARROW,pttstock,2498 借券大戶又開始狂借 恐怖了 :),,06/07 09:34,positive,2498
85,785,ARROW,billy56,低位階沒動靜的就是沒動靜,,06/07 09:34,neutral,null
86,786,BOO,photoless,連信貸都賺翻了 為何你還在上班,,06/07 09:34,neutral,null
87,787,ARROW,Gyin,長榮準備翻黑！？,,06/07 09:34,positive,長榮航空 (2603)
88,788,PUSH,gtaped05550,三羊要被大安倒爛啦,,06/07 09:34,negative,三羊股份
89,789,BOO,Crushredkiss,用力買吧各位QQ 空手看飛,,06/07 09:34,positive,null
90,790,PUSH,kducky,日經怎摸自殺QQ,,06/07 09:34,negative,日經
91,791,PUSH,O10lOl01O,靠杯 又跌下來 手上真的兩張鳳凰了= =,,06/07 09:35,negative,null
92,792,ARROW,O10lOl01O,壓力有點大了,,06/07 09:35,negative,null
93,793,ARROW,thinksilver,龍哥也是很無奈 畢竟弟弟做多.....,,06/07 09:35,negative,
94,794,PUSH,joygo,三陽當沖每天都被教訓,,06/07 09:35,negative,三陽當沖
95,795,PUSH,veter,https://i.imgur.com/WoPHriP.jpg,,06/07 09:35,neutral,null
96,796,PUSH,simo520,拉G供應鍵,,06/07 09:35,neutral,null
97,797,PUSH,v7q4,沖一下優群、牧德 30分鐘月薪Get 收工!,,06/07 09:35,positive,優群、牧德
98,798,ARROW,pttstock,聰明錢都去美國跟葉倫阿罵買新美債了 :),,06/07 09:35,positive,null
99,799,PUSH,madnutv,材料在幹嘛?,,06/07 09:35,neutral,null
100,800,ARROW,frankie30432,連日月光我上上周五在看11附近0現在都125了,,06/07 09:35,positive,null
101,801,PUSH,zackro,gu大 6804是不是沒戲了？,,06/07 09:35,negative,6804
102,802,ARROW,v7q4,又可以看整天企鵝妹了~~~777777,,06/07 09:35,neutral,null
103,803,ARROW,Leo4891,龍割還在做空喔？ 太扯了吧,,06/07 09:35,negative,龍割
104,804,PUSH,n000000001,今天長老還是出貨給大家,,06/07 09:35,neutral,null
105,805,ARROW,photoless,日本化外之地東西難吃 崩只是剛好,,06/07 09:36,neutral,null
106,806,BOO,call5566me,995885  出貨辣,,06/07 09:36,neutral,null
107,807,PUSH,otsuka123,龍哥空AI 今天還行吧 沒啥被嘎,,06/07 09:36,neutral,null
108,808,ARROW,WEYNI,我家阿兵哥在太爛了QQ,,06/07 09:36,negative,null
109,809,BOO,yahooooooooo,請問到底誰在賠錢？,,06/07 09:36,neutral,null
110,810,ARROW,blue1204,晶華 誇,,06/07 09:36,positive,晶華
111,811,PUSH,hbk4ever,每天躺著等噴就好 持股舒服  今年真好賺,,06/07 09:36,positive,null
112,812,ARROW,O10lOl01O,鳳凰回到125.5不難吧 衝rrr,,06/07 09:36,positive,鳳凰股份
113,813,PUSH,gogoking,嘎偉老蘇加持 前天喊航運隔天空勝率100%,,06/07 09:36,positive,null
114,814,PUSH,cheedo,剛剛正二換三陽的還好嗎,,06/07 09:36,neutral,null
115,815,PUSH,ZXSC,8zz又買三陽和友達喵，救命啊,,06/07 09:36,negative,三陽、友達
116,816,PUSH,chunmon,三陽上沖下洗,,06/07 09:36,neutral,三陽
117,817,ARROW,galleon2000,空蛙太可憐了吧...,,06/07 09:36,negative,null
118,818,PUSH,miuca,為何大盤一直漲 嗚嗚嗚,,06/07 09:36,negative,Market
119,819,PUSH,smbtomas,洪傑笑死穩套噴爛,,06/07 09:36,negative,null
120,820,ARROW,cheedo,主力盯上你了,,06/07 09:37,negative,
121,821,ARROW,pttstock,很有趣的緯創 都漲不上去 :),,06/07 09:37,negative,緯創
122,822,PUSH,cysfmc,中小型股開始A,,06/07 09:37,neutral,中小型股
123,823,ARROW,z256418,棄嬰我在14.35等你 快上來QQ,,06/07 09:37,neutral,null
